b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,1066,1066,0
1,2,868,868,0
1,3,183,183,0
1,4,933,933,0
1,5,366,366,0
1,6,365,365,0
2,1,852,852,0
2,2,116,116,0
2,3,1130,1130,0
2,4,527,527,0
2,5,519,519,0
2,6,530,530,0
3,1,1503,1503,0
3,2,558,558,0
3,3,821,821,0
3,4,857,857,0
3,5,680,680,0
3,6,998,998,0
