b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,1096.0,1096,0.0
1,2,467.0,467,0.0
1,3,613.0,613,0.0
1,4,724.0,724,0.0
1,5,135.0,135,0.0
1,6,477.0,477,0.0
2,1,764.0,764,0.0
2,2,337.0,337,0.0
2,3,799.0,799,0.0
2,4,589.0,589,0.0
2,5,418.0,418,0.0
2,6,628.0,628,0.0
3,1,1573.0,1573,0.0
3,2,218.0,218,0.0
3,3,1347.0,1347,0.0
3,4,53.0,53,0.0
3,5,1778.0,1778,0.0
3,6,92.0,92,0.0
