iteration,s,t,f,k,b,amount
iteration_1,1,2,53,14,1,30.0
iteration_1,1,2,54,14,1,15.0
iteration_1,1,2,54,25,1,17.0
iteration_1,1,2,55,15,1,39.0
iteration_1,1,2,56,18,1,33.0
iteration_1,1,2,57,16,1,32.0
iteration_1,1,2,58,25,1,38.0
iteration_1,1,2,59,25,1,40.0
iteration_1,1,2,60,22,1,34.0
iteration_1,1,2,61,25,1,37.0
iteration_1,1,2,62,16,1,38.0
iteration_1,1,2,63,16,1,40.0
iteration_1,1,2,64,25,1,35.0
iteration_1,1,2,65,24,1,37.0
iteration_1,1,2,66,18,1,32.0
iteration_1,1,2,67,19,1,34.0
iteration_1,1,2,68,24,1,39.0
iteration_1,1,2,69,17,1,24.0
iteration_1,1,2,69,17,3,13.0
iteration_1,1,2,70,17,3,32.0
iteration_1,1,2,71,18,3,31.0
iteration_1,1,2,72,18,3,38.0
iteration_1,1,2,73,19,3,40.0
iteration_1,1,2,74,21,3,39.0
iteration_1,1,2,75,20,3,39.0
iteration_1,1,2,76,15,3,39.0
iteration_1,1,2,77,21,3,38.0
iteration_1,1,2,78,21,3,31.0
iteration_1,1,2,79,20,3,36.0
iteration_1,1,2,80,19,3,35.0
iteration_1,1,2,81,22,3,39.0
iteration_1,1,2,82,21,3,31.0
iteration_1,1,2,83,15,3,34.0
iteration_1,1,2,84,25,3,7.0
iteration_1,1,2,84,15,3,30.0
iteration_1,1,2,85,22,3,30.0
iteration_1,1,2,86,22,3,33.0
iteration_1,1,2,87,21,3,37.0
iteration_1,1,2,88,22,3,32.0
iteration_1,1,2,89,23,3,36.0
iteration_1,1,2,90,24,3,2.0
iteration_1,1,3,1,1,2,31.0
iteration_1,1,3,2,5,2,39.0
iteration_1,1,3,3,12,2,32.0
iteration_1,1,3,4,6,2,37.0
iteration_1,1,3,5,11,2,38.0
iteration_1,1,3,6,9,2,40.0
iteration_1,1,3,7,2,2,32.0
iteration_1,1,3,8,11,2,40.0
iteration_1,1,3,9,11,2,38.0
iteration_1,1,3,10,3,2,36.0
iteration_1,1,3,11,10,2,37.0
iteration_1,1,3,12,12,2,38.0
iteration_1,1,3,13,6,2,31.0
iteration_1,1,3,14,12,2,36.0
iteration_1,1,3,15,1,2,31.0
iteration_1,1,3,16,4,2,37.0
iteration_1,1,3,17,3,2,32.0
iteration_1,1,3,18,5,2,40.0
iteration_1,1,3,19,10,2,32.0
iteration_1,1,3,20,10,2,32.0
iteration_1,1,3,21,10,2,34.0
iteration_1,1,3,22,8,2,39.0
iteration_1,1,3,23,6,2,31.0
iteration_1,1,3,24,6,2,31.0
iteration_1,1,3,25,7,2,33.0
iteration_1,1,3,26,6,2,31.0
iteration_1,1,3,27,8,2,31.0
iteration_1,1,3,28,6,2,36.0
iteration_1,1,3,29,8,2,35.0
iteration_1,1,3,30,4,2,35.0
iteration_1,1,3,31,9,2,31.0
iteration_1,1,3,32,4,2,36.0
iteration_1,1,3,33,9,2,39.0
iteration_1,1,3,34,6,2,32.0
iteration_1,1,3,35,1,2,40.0
iteration_1,1,3,36,6,2,16.0
iteration_1,1,3,36,1,2,20.0
iteration_1,1,3,37,9,2,40.0
iteration_1,1,3,38,10,2,31.0
iteration_1,1,3,39,11,2,37.0
iteration_1,1,3,40,12,2,30.0
iteration_1,1,3,41,18,1,40.0
iteration_1,1,3,42,13,1,31.0
iteration_1,1,3,43,14,1,38.0
iteration_1,1,3,44,14,1,39.0
iteration_1,1,3,45,14,1,31.0
iteration_1,1,3,46,14,1,35.0
iteration_1,1,3,47,14,1,40.0
iteration_1,1,3,48,13,1,37.0
iteration_1,1,3,49,25,2,38.0
iteration_1,1,3,50,18,1,39.0
iteration_1,1,3,51,25,2,35.0
iteration_1,1,3,52,14,1,38.0
iteration_1,1,3,53,14,1,24.0
iteration_1,1,3,53,13,1,15.0
iteration_1,1,3,54,25,2,36.0
iteration_1,1,3,55,15,2,39.0
iteration_1,1,3,56,18,1,36.0
iteration_1,1,3,57,16,2,36.0
iteration_1,1,3,58,25,2,31.0
iteration_1,1,3,59,25,2,37.0
iteration_1,1,3,60,22,2,40.0
iteration_1,1,3,61,25,2,37.0
iteration_1,1,3,62,16,2,34.0
iteration_1,1,3,63,16,2,40.0
iteration_1,1,3,64,25,2,31.0
iteration_1,1,3,64,22,2,9.0
iteration_1,1,3,65,24,1,33.0
iteration_1,1,3,66,18,1,38.0
iteration_1,1,3,67,19,2,31.0
iteration_1,1,3,68,24,1,35.0
iteration_1,1,3,69,17,1,30.0
iteration_1,1,3,70,17,1,37.0
iteration_1,1,3,71,18,1,31.0
iteration_1,1,3,72,18,1,38.0
iteration_1,1,3,73,19,2,33.0
iteration_1,1,3,74,21,2,31.0
iteration_1,1,3,75,20,2,36.0
iteration_1,1,3,76,15,2,30.0
iteration_1,1,3,77,21,2,31.0
iteration_1,1,3,78,21,2,36.0
iteration_1,1,3,79,20,2,38.0
iteration_1,1,3,80,19,2,30.0
iteration_1,1,3,81,22,2,38.0
iteration_1,1,3,82,21,2,40.0
iteration_1,1,3,83,15,2,35.0
iteration_1,1,3,84,15,2,36.0
iteration_1,1,3,85,22,2,40.0
iteration_1,1,3,86,22,2,37.0
iteration_1,1,3,87,21,2,31.0
iteration_1,1,3,88,22,2,38.0
iteration_1,1,3,89,23,1,37.0
iteration_1,1,3,90,24,1,38.0
iteration_1,1,3,91,20,2,34.0
iteration_1,1,3,92,20,2,37.0
iteration_1,1,3,93,20,2,36.0
iteration_1,1,3,94,17,1,33.0
iteration_1,1,3,95,20,2,33.0
iteration_1,1,3,96,24,1,36.0
iteration_1,1,3,97,24,1,39.0
iteration_1,1,3,98,20,1,31.0
iteration_1,1,3,98,24,1,4.0
iteration_1,1,3,99,21,1,34.0
iteration_1,1,4,1,1,2,39.0
iteration_1,1,4,2,5,2,35.0
iteration_1,1,4,3,12,2,40.0
iteration_1,1,4,4,6,2,34.0
iteration_1,1,4,5,11,2,39.0
iteration_1,1,4,6,9,2,40.0
iteration_1,1,4,7,2,2,30.0
iteration_1,1,4,8,11,2,30.0
iteration_1,1,4,9,11,2,33.0
iteration_1,1,4,10,3,2,34.0
iteration_1,1,4,11,10,2,31.0
iteration_1,1,4,12,12,2,35.0
iteration_1,1,4,13,6,2,39.0
iteration_1,1,4,14,12,2,31.0
iteration_1,1,4,15,1,2,33.0
iteration_1,1,4,16,4,2,40.0
iteration_1,1,4,17,3,2,35.0
iteration_1,1,4,18,5,2,40.0
iteration_1,1,4,19,10,2,36.0
iteration_1,1,4,20,10,2,32.0
iteration_1,1,4,21,10,2,30.0
iteration_1,1,4,22,8,2,30.0
iteration_1,1,4,23,6,2,36.0
iteration_1,1,4,24,6,2,36.0
iteration_1,1,4,25,7,2,30.0
iteration_1,1,4,26,6,2,38.0
iteration_1,1,4,27,8,2,30.0
iteration_1,1,4,28,6,2,38.0
iteration_1,1,4,29,8,2,39.0
iteration_1,1,4,30,4,2,32.0
iteration_1,1,4,31,9,2,34.0
iteration_1,1,4,32,4,2,32.0
iteration_1,1,4,33,9,2,2.0
iteration_1,1,4,33,9,1,35.0
iteration_1,1,4,34,6,1,24.0
iteration_1,1,4,34,8,1,8.0
iteration_1,1,4,35,1,1,34.0
iteration_1,1,4,36,1,1,37.0
iteration_1,1,4,37,9,1,38.0
iteration_1,1,4,38,10,1,31.0
iteration_1,1,4,39,11,1,37.0
iteration_1,1,4,40,12,1,35.0
iteration_1,1,4,41,18,1,35.0
iteration_1,1,4,42,13,1,36.0
iteration_1,1,4,43,14,1,33.0
iteration_1,1,4,44,14,1,31.0
iteration_1,1,4,45,14,1,32.0
iteration_1,1,4,46,14,1,40.0
iteration_1,1,4,47,14,1,34.0
iteration_1,1,4,48,13,1,30.0
iteration_1,1,4,49,25,1,33.0
iteration_1,1,4,50,18,1,33.0
iteration_1,1,4,51,25,1,33.0
iteration_1,1,4,52,14,1,40.0
iteration_1,1,4,53,14,1,32.0
iteration_1,1,4,54,14,1,3.0
iteration_1,1,4,54,25,1,34.0
iteration_1,1,4,55,15,1,39.0
iteration_1,1,4,56,18,1,31.0
iteration_1,1,4,57,16,1,32.0
iteration_1,1,4,58,25,1,31.0
iteration_1,1,4,59,25,1,33.0
iteration_1,1,4,60,22,1,32.0
iteration_1,1,4,61,25,1,36.0
iteration_1,1,4,62,16,1,34.0
iteration_1,1,4,63,16,1,30.0
iteration_1,1,4,64,25,1,34.0
iteration_1,1,4,65,24,1,30.0
iteration_1,1,4,66,18,1,35.0
iteration_1,1,4,67,19,1,31.0
iteration_1,1,4,68,24,1,31.0
iteration_1,1,4,69,17,1,31.0
iteration_1,1,4,70,17,1,40.0
iteration_1,1,4,71,18,1,34.0
iteration_1,1,4,72,18,1,39.0
iteration_1,1,4,73,19,1,34.0
iteration_1,1,4,74,21,1,31.0
iteration_1,1,4,75,20,1,30.0
iteration_1,1,4,76,15,1,32.0
iteration_1,1,4,77,21,1,37.0
iteration_1,1,4,78,21,1,34.0
iteration_1,1,4,79,20,1,39.0
iteration_1,1,4,80,19,1,36.0
iteration_1,1,4,81,22,1,39.0
iteration_1,1,4,82,21,1,36.0
iteration_1,1,4,83,15,1,37.0
iteration_1,1,4,84,25,1,11.0
iteration_1,1,4,84,15,1,29.0
iteration_1,1,4,85,22,1,33.0
iteration_1,1,4,86,22,1,35.0
iteration_1,1,4,87,21,1,40.0
iteration_1,1,4,88,22,1,31.0
iteration_1,1,4,89,23,1,37.0
iteration_1,1,4,90,24,1,31.0
iteration_1,1,4,91,20,1,31.0
iteration_1,1,4,92,20,1,39.0
iteration_1,1,4,93,20,1,38.0
iteration_1,1,4,94,17,1,31.0
iteration_1,1,4,95,20,1,34.0
iteration_1,1,4,96,24,1,31.0
iteration_1,1,4,97,24,1,33.0
iteration_1,1,4,98,20,1,34.0
iteration_1,1,4,98,24,1,6.0
iteration_1,1,4,99,21,1,31.0
iteration_1,1,5,1,1,2,38.0
iteration_1,1,5,2,5,2,38.0
iteration_1,1,5,3,12,2,40.0
iteration_1,1,5,4,6,2,30.0
iteration_1,1,5,5,11,2,38.0
iteration_1,1,5,6,9,2,33.0
iteration_1,1,5,7,2,2,30.0
iteration_1,1,5,8,11,2,36.0
iteration_1,1,5,9,11,2,34.0
iteration_1,1,5,10,3,2,36.0
iteration_1,1,5,11,10,2,30.0
iteration_1,1,5,12,12,2,33.0
iteration_1,1,5,13,6,2,39.0
iteration_1,1,5,14,12,2,37.0
iteration_1,1,5,15,1,2,40.0
iteration_1,1,5,16,4,2,33.0
iteration_1,1,5,17,3,2,33.0
iteration_1,1,5,18,5,2,39.0
iteration_1,1,5,19,10,2,37.0
iteration_1,1,5,20,10,2,35.0
iteration_1,1,5,21,10,2,30.0
iteration_1,1,5,22,8,2,30.0
iteration_1,1,5,23,6,2,30.0
iteration_1,1,5,24,6,2,39.0
iteration_1,1,5,25,7,2,39.0
iteration_1,1,5,26,6,2,39.0
iteration_1,1,5,27,8,2,35.0
iteration_1,1,5,28,6,2,40.0
iteration_1,1,5,29,8,2,33.0
iteration_1,1,5,30,4,2,33.0
iteration_1,1,5,31,9,2,40.0
iteration_1,1,5,32,4,2,33.0
iteration_1,1,5,33,9,2,33.0
iteration_1,1,5,34,6,2,28.0
iteration_1,1,5,34,8,2,6.0
iteration_1,1,5,35,1,2,31.0
iteration_1,1,5,36,1,2,40.0
iteration_1,1,5,37,9,2,32.0
iteration_1,1,5,38,10,2,40.0
iteration_1,1,5,39,11,2,31.0
iteration_1,1,5,40,12,2,35.0
iteration_1,1,5,41,18,1,31.0
iteration_1,1,5,42,13,1,37.0
iteration_1,1,5,43,14,1,31.0
iteration_1,1,5,44,14,1,34.0
iteration_1,1,5,45,14,1,30.0
iteration_1,1,5,46,14,1,39.0
iteration_1,1,5,47,14,1,33.0
iteration_1,1,5,48,13,1,37.0
iteration_1,1,5,49,25,2,31.0
iteration_1,1,5,50,18,1,40.0
iteration_1,1,5,51,25,2,37.0
iteration_1,1,5,52,14,1,40.0
iteration_1,1,5,53,14,1,36.0
iteration_1,1,5,54,14,1,2.0
iteration_1,1,5,54,25,2,37.0
iteration_1,1,5,55,15,2,40.0
iteration_1,1,5,56,18,1,36.0
iteration_1,1,5,57,16,2,39.0
iteration_1,1,5,58,25,2,40.0
iteration_1,1,5,59,25,2,35.0
iteration_1,1,5,60,22,2,36.0
iteration_1,1,5,61,25,2,30.0
iteration_1,1,5,62,16,2,34.0
iteration_1,1,5,63,16,2,35.0
iteration_1,1,5,64,25,2,34.0
iteration_1,1,5,65,24,1,37.0
iteration_1,1,5,66,18,1,40.0
iteration_1,1,5,67,19,2,39.0
iteration_1,1,5,68,24,1,32.0
iteration_1,1,5,69,17,1,34.0
iteration_1,1,5,70,17,1,38.0
iteration_1,1,5,71,18,1,36.0
iteration_1,1,5,72,18,1,37.0
iteration_1,1,5,73,19,2,31.0
iteration_1,1,5,74,21,2,40.0
iteration_1,1,5,75,20,2,36.0
iteration_1,1,5,76,15,2,34.0
iteration_1,1,5,77,21,2,39.0
iteration_1,1,5,78,21,2,31.0
iteration_1,1,5,79,20,2,35.0
iteration_1,1,5,80,19,2,31.0
iteration_1,1,5,81,22,2,40.0
iteration_1,1,5,82,21,2,38.0
iteration_1,1,5,83,15,2,38.0
iteration_1,1,5,84,25,2,1.0
iteration_1,1,5,84,15,1,2.0
iteration_1,1,5,84,15,3,27.0
iteration_1,1,5,85,22,3,37.0
iteration_1,1,5,86,22,3,36.0
iteration_1,1,5,87,21,3,32.0
iteration_1,1,5,88,22,3,34.0
iteration_1,1,5,89,23,3,39.0
iteration_1,1,5,90,24,3,34.0
iteration_1,1,5,91,20,3,32.0
iteration_1,1,5,92,20,3,37.0
iteration_1,1,5,93,20,3,40.0
iteration_1,1,5,94,17,3,30.0
iteration_1,1,5,95,20,3,31.0
iteration_1,1,5,96,24,3,34.0
iteration_1,1,5,97,24,3,30.0
iteration_1,1,5,98,20,3,29.0
iteration_1,1,6,1,1,2,37.0
iteration_1,1,6,2,5,2,35.0
iteration_1,1,6,3,12,2,38.0
iteration_1,1,6,4,6,2,34.0
iteration_1,1,6,5,11,2,37.0
iteration_1,1,6,6,9,2,32.0
iteration_1,1,6,7,2,2,38.0
iteration_1,1,6,8,11,2,40.0
iteration_1,1,6,9,11,2,37.0
iteration_1,1,6,10,3,2,36.0
iteration_1,1,6,11,10,2,33.0
iteration_1,1,6,12,12,2,37.0
iteration_1,1,6,13,6,2,39.0
iteration_1,1,6,14,12,2,36.0
iteration_1,1,6,15,1,2,36.0
iteration_1,1,6,16,4,2,38.0
iteration_1,1,6,17,3,2,37.0
iteration_1,1,6,18,5,2,39.0
iteration_1,1,6,19,10,2,31.0
iteration_1,1,6,20,10,2,35.0
iteration_1,1,6,21,10,2,39.0
iteration_1,1,6,22,8,1,37.0
iteration_1,1,6,23,6,1,33.0
iteration_1,1,6,24,6,1,32.0
iteration_1,1,6,25,7,1,31.0
iteration_1,1,6,26,6,1,39.0
iteration_1,1,6,27,8,1,39.0
iteration_1,1,6,28,6,1,35.0
iteration_1,1,6,29,8,1,40.0
iteration_1,1,6,30,4,1,40.0
iteration_1,1,6,31,9,1,40.0
iteration_1,1,6,32,4,1,30.0
iteration_1,1,6,33,9,1,31.0
