b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,1099.0,1099.0,0.0
1,3,398.0,398.0,0.0
1,4,418.0,418.0,0.0
1,5,309.0,309.0,0.0
1,6,201.0,201.0,0.0
2,1,612.0,612.0,0.0
2,2,476.0,476.0,0.0
2,3,557.0,557.0,0.0
2,4,418.0,418.0,0.0
2,5,162.0,162.0,0.0
2,6,0.0,0.0,0.0
3,1,1509.0,1509.0,0.0
3,2,350.0,350.0,0.0
3,3,566.0,566.0,0.0
3,4,174.0,174.0,0.0
3,5,689.0,689.0,0.0
3,6,3.0,3.0,0.0
