b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,712,712,0
1,2,936,936,0
1,3,960,960,0
1,4,249,249,0
1,5,676,676,0
1,6,160,160,0
2,1,629,629,0
2,2,362,362,0
2,3,831,831,0
2,4,578,578,0
2,5,714,714,0
2,6,406,406,0
3,1,1844,1844,0
3,2,484,484,0
3,3,626,626,0
3,4,1047,1047,0
3,5,843,843,0
3,6,807,807,0
