b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,1430.0,860,570.0
1,2,1808.0,1044,764.0
1,3,1221.0,689,532.0
1,4,1349.0,435,914.0
1,5,1400.0,480,920.0
1,6,843.0,608,235.0
2,1,1764.0,779,985.0
2,2,923.0,382,541.0
2,3,1152.0,906,246.0
2,4,1196.0,772,424.0
2,5,1718.0,1010,708.0
2,6,629.0,213,416.0
3,1,2333.0,1358,975.0
3,2,1232.0,636,596.0
3,3,722.0,451,271.0
3,4,950.0,398,552.0
3,5,1598.0,900,698.0
3,6,357.0,235,122.0
