b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,1148.0,1148,0.0
1,2,598.0,598,0.0
1,3,859.0,859,0.0
1,4,674.0,674,0.0
1,5,284.0,284,0.0
1,6,441.0,441,0.0
2,1,738.0,738,0.0
2,2,373.0,373,0.0
2,3,982.0,982,0.0
2,4,411.0,411,0.0
2,5,997.0,997,0.0
2,6,108.0,108,0.0
3,1,1283.0,1283,0.0
3,2,761.0,761,0.0
3,3,551.0,551,0.0
3,4,539.0,539,0.0
3,5,1099.0,1099,0.0
3,6,1097.0,1097,0.0
