b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,895,895,0
1,2,426,426,0
1,3,765,765,0
1,4,237,237,0
1,5,252,252,0
1,6,246,246,0
2,1,821,821,0
2,2,308,308,0
2,3,725,725,0
2,4,590,590,0
2,5,692,692,0
2,6,548,548,0
3,1,1801,1801,0
3,2,573,573,0
3,3,1149,1149,0
3,4,912,912,0
3,5,889,889,0
3,6,1038,1038,0
