b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,1227.0,1227,0.0
1,2,450.0,450,0.0
1,3,810.0,810,0.0
1,4,446.0,446,0.0
1,5,738.0,738,0.0
1,6,384.0,384,0.0
2,1,516.0,516,0.0
2,2,441.0,441,0.0
2,3,1062.0,1062,0.0
2,4,544.0,544,0.0
2,5,853.0,853,0.0
2,6,428.0,428,0.0
3,1,1814.0,1814,0.0
3,2,397.0,397,0.0
3,3,686.0,686,0.0
3,4,634.0,634,0.0
3,5,624.0,624,0.0
3,6,814.0,814,0.0
