b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,1176.0,1176,0.0
1,2,387.0,387,0.0
1,3,786.0,786,0.0
1,4,349.0,349,0.0
1,5,487.0,487,0.0
1,6,65.0,65,0.0
2,1,636.0,636,0.0
2,3,1179.0,1179,0.0
2,4,396.0,396,0.0
2,5,600.0,600,0.0
2,6,693.0,693,0.0
3,1,1675.0,1675,0.0
3,2,539.0,539,0.0
3,3,969.0,969,0.0
3,4,422.0,422,0.0
3,5,1360.0,1360,0.0
3,6,407.0,407,0.0
