b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,1171,1171,0
1,2,180,180,0
1,3,216,216,0
1,4,875,875,0
1,5,203,203,0
1,6,617,617,0
2,1,673,673,0
2,2,616,616,0
2,3,1295,1295,0
2,4,370,370,0
2,5,822,822,0
2,6,393,393,0
3,1,1630,1630,0
3,2,320,320,0
3,3,1348,1348,0
3,4,358,358,0
3,5,1087,1087,0
3,6,726,726,0
