b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,1047.0,1047,0.0
1,2,221.0,221,0.0
1,3,1381.0,1381,0.0
1,4,82.0,82,0.0
1,5,763.0,763,0.0
1,6,503.0,503,0.0
2,1,609.0,609,0.0
2,2,207.0,207,0.0
2,3,873.0,873,0.0
2,4,746.0,746,0.0
2,5,616.0,616,0.0
2,6,299.0,299,0.0
3,1,1787.0,1787,0.0
3,2,396.0,396,0.0
3,3,477.0,477,0.0
3,4,833.0,833,0.0
3,5,1063.0,1063,0.0
3,6,367.0,367,0.0
