b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,881.0,881,0.0
1,2,883.0,883,0.0
1,3,557.0,557,0.0
1,4,512.0,512,0.0
1,5,620.0,620,0.0
1,6,634.0,634,0.0
2,1,857.0,857,0.0
2,3,1298.0,1298,0.0
2,4,160.0,160,0.0
2,5,1054.0,1054,0.0
2,6,331.0,331,0.0
3,1,1596.0,1596,0.0
3,2,270.0,270,0.0
3,3,770.0,770,0.0
3,4,615.0,615,0.0
3,5,1053.0,1053,0.0
3,6,54.0,54,0.0
