b,t,incoming_to_hub,outgoing_from_hub,difference
1,1,936.0,936,0.0
1,2,477.0,477,0.0
1,3,663.0,663,0.0
1,4,492.0,492,0.0
1,5,772.0,772,0.0
1,6,585.0,585,0.0
2,1,532.0,532,0.0
2,2,915.0,915,0.0
2,3,768.0,768,0.0
2,4,724.0,724,0.0
2,5,816.0,816,0.0
2,6,283.0,283,0.0
3,1,1659.0,1659,0.0
3,2,444.0,444,0.0
3,3,710.0,710,0.0
3,4,987.0,987,0.0
3,5,760.0,760,0.0
3,6,385.0,385,0.0
