1,2,3,4,5,6,iteration
0,0,0,0,42,0,iteration_3
0,0,0,26,0,8,iteration_3
0,0,13,0,0,21,iteration_3
0,0,0,0,10,50,iteration_3
0,0,15,0,0,0,iteration_3
0,0,13,0,11,0,iteration_3
0,0,9,0,0,0,iteration_3
0,0,0,0,19,0,iteration_3
0,0,11,0,0,29,iteration_3
0,0,15,0,0,50,iteration_3
0,0,8,0,0,18,iteration_3
0,0,0,0,0,28,iteration_3
0,0,9,0,9,0,iteration_3
0,0,0,0,0,3,iteration_3
0,0,0,0,52,0,iteration_3
0,0,0,42,0,0,iteration_3
0,0,0,25,0,0,iteration_3
0,0,16,0,0,0,iteration_3
0,0,11,0,9,27,iteration_3
0,0,15,0,0,0,iteration_3
0,0,0,36,0,6,iteration_3
0,0,0,20,23,0,iteration_3
0,0,0,17,0,12,iteration_3
0,0,8,0,16,0,iteration_3
0,0,0,18,0,0,iteration_3
0,0,0,0,25,0,iteration_3
0,0,0,34,0,7,iteration_3
0,0,14,0,0,0,iteration_3
0,0,16,0,14,0,iteration_3
0,0,0,34,0,0,iteration_3
